요구사항ID	LV1	LV2	LV3	요구사항명	상세 요구사항 정의	우선순위(상,중,하)
FR_AUTH_001	인증/세션	익명 세션 생성		익명 세션 생성 및 사용자 컨텍스트 확립	"- Step1) 앱 진입 시 쿠키에 세션 토큰 존재 여부 확인
 - Step1-1) 세션 토큰이 있으면 JWT 토큰 유효성 검증
 - Step1-2) 토큰이 유효하면 기존 사용자 정보 조회 (getUser)
 - Step2) 세션이 없거나 토큰이 만료된 경우, Supabase Auth의 signInAnonymously() 자동 호출
 - Step3) Supabase가 자동으로 UUID v4 형식 생성 (예: 123e4567-e89b-12d3-a456-426614174000)
 - Step4) JWT Access Token 및 Refresh Token 발급
 - Step5) 쿠키에 토큰 저장 (httpOnly, secure, sameSite 속성)
 - Step6) AuthProvider에서 user 객체 설정 (user.id = UUID, user.is_anonymous = true)
 - Step7) 모든 API 요청 시 Authorization 헤더에 Bearer 토큰 자동 첨부
 - Step8) 토큰 만료 시 Refresh Token으로 자동 갱신 후 쿠키 업데이트
 - Step9) 서버 사이드에서 쿠키 기반 세션 관리 (@supabase/ssr)
 - Step10) 클라이언트 사이드에서 브라우저 쿠키 자동 관리
 - Step11) 세션 갱신은 middleware에서 자동 처리
Acceptance Criteria:
- 앱 진입 시 자동으로 UUID가 발급되고 세션이 생성되어야 함
- 토큰 만료 시 자동으로 갱신되어 사용자 경험이 끊기지 않아야 함
- 모든 API 요청에 토큰이 자동으로 첨부되어야 함"	상
FR_AUTH_002	인증/세션	회원가입		이메일/비밀번호 회원가입	"- Step1) 이름, 이메일, 비밀번호 입력
 - Step2) 이메일 중복 체크 (Supabase Auth)
 - Step2-1) 중복된 이메일이 있을 경우, 이미 등록된 이메일이라고 안내
 - Step3) 중복 이메일이 없는 경우, Supabase Auth의 signUp() 호출
 - Step4) user_metadata.name에 이름 저장
 - Step5) 확인 이메일 발송 (Supabase 자동 처리)
 - Step6) 회원가입 성공 시 세션 생성 및 쿠키에 토큰 저장
 - Step7) 메인 페이지(/)로 리다이렉트
 - Step8) 이미 로그인된 상태에서 /auth/signup 접속 시 메인으로 자동 리다이렉트
Acceptance Criteria:
- 중복 이메일 체크가 정확히 동작해야 함
- 회원가입 성공 시 자동으로 로그인 상태가 되어야 함
- 확인 이메일이 정상적으로 발송되어야 함"	상
FR_AUTH_003	인증/세션	로그인		로그인(세션 생성 포함)	"- Step1) 이메일 주소와 비밀번호 입력
 - Step2) Supabase Auth의 signInWithPassword() 호출
 - Step3) 로그인 성공 시 세션 생성 및 쿠키에 토큰 저장
 - Step4) 메인 페이지(/)로 리다이렉트
 - Step5) 이미 로그인된 상태에서 /auth/login 접속 시 메인으로 자동 리다이렉트
 - Step6) 로그인 실패 시 에러 메시지 표시
Acceptance Criteria:
- 로그인 성공 시 세션이 생성되고 쿠키에 토큰이 저장되어야 함
- 로그인 실패 시 명확한 에러 메시지가 표시되어야 함"	상
FR_AUTH_004	인증/세션	로그아웃		로그아웃(세션 폐기)	"- Step1) UserMenu 또는 설정 페이지에서 로그아웃 버튼 클릭
 - Step2) Supabase Auth의 signOut() 호출
 - Step3) 쿠키에서 세션 토큰 삭제
 - Step4) 메인 페이지(/)로 리다이렉트
 - Step5) 로그아웃 후 자동 UUID 발급 플로우로 전환
Acceptance Criteria:
- 로그아웃 시 세션이 완전히 폐기되어야 함
- 로그아웃 후 익명 세션이 자동으로 생성되어야 함"	중
FR_VEH_001	차량 관리	차량 등록		차량 등록(Create)	"- Step1) 내 차 탭(/vehicle)에서 '차량 등록' 버튼 클릭
 - Step2) 차량번호 입력 (예: 12가3456)
 - Step3) '차량 조회' 버튼 클릭 시 차량 정보 조회 API 호출
 - Step4) 조회된 차량 정보 표시 (제조사, 모델, 연식, 연료타입)
 - Step5) 소유주 이름 입력 (차량등록증 기준)
 - Step6) 소유주 확인 API 호출
 - Step7) 별칭 입력 (선택사항)
 - Step8) 주행거리 입력 (km)
 - Step9) '차량 등록' 버튼 클릭 시 저장
 - Step10) 저장 성공 시 내 차 탭으로 리다이렉트
Acceptance Criteria:
- 차량번호 조회가 정확히 동작해야 함
- 소유주 확인이 정확히 동작해야 함
- 차량 정보가 정상적으로 저장되어야 함"	상
FR_VEH_002	차량 관리	차량 정보 수정		차량 정보 수정(Update)	"- Step1) 내 차 탭에서 차량 카드의 수정 버튼 클릭
 - Step2) 차량 정보 수정 폼 표시 (주행거리, 별칭)
 - Step3) 수정 내용 저장
 - Step4) 저장 성공 시 차량 정보 업데이트
Acceptance Criteria:
- 차량 정보 수정이 정상적으로 저장되어야 함
- 수정 후 변경사항이 즉시 반영되어야 함"	중
FR_VEH_003	차량 관리	차량 삭제		차량 삭제(Delete)	"- Step1) 내 차 탭에서 차량 카드의 삭제 버튼 클릭
 - Step2) 삭제 확인 모달 표시
 - Step3) 확인 시 차량 정보 삭제
 - Step4) 삭제 성공 시 차량 목록에서 제거
Acceptance Criteria:
- 삭제 확인 모달이 표시되어야 함
- 차량 정보가 정상적으로 삭제되어야 함
- 삭제 후 목록에서 즉시 제거되어야 함"	중
FR_VERIFY_001	견적서 입력 및 검증	견적서 입력	카메라 촬영 기반	견적서 데이터 입력(카메라 촬영 기반)	"- Step1) 메인 페이지에서 '견적서 촬영하기' 카드 클릭
 - Step2) 카메라 권한 요청 (브라우저/앱 권한)
 - Step3) 카메라 뷰파인더 화면 표시
 - Step4) 촬영 버튼 클릭 시 사진 캡처
 - Step5) 미리보기 화면 표시 (재촬영 가능)
 - Step6) '이 사진 사용' 버튼 클릭 시 sessionStorage에 이미지 저장
 - Step7) 견적서 확인 화면(/verify/review)으로 이동
 - Step8) 이미지 로드 및 OCR API 호출 (Upstage OCR 또는 OpenAI Vision)
 - Step9) 추출된 텍스트에서 차량 정보 및 정비 항목 파싱
 - Step10) 파싱된 정보를 화면에 표시 (차량 정보, 정비 항목 리스트)
 - Step11) 사용자가 정보 수정 가능 (차량 정보, 항목 추가/삭제/수정)
 - Step12) '검증하기' 버튼 클릭 시 차량 정보 및 견적서 저장
 - Step13) 검증 엔진 실행 (비동기)
 - Step14) 검증 결과 화면(/verify/result)으로 이동
Acceptance Criteria:
- 카메라 촬영이 정상적으로 동작해야 함
- OCR이 정확히 텍스트를 추출해야 함
- 파싱된 정보를 사용자가 수정할 수 있어야 함
- 검증 엔진이 정상적으로 실행되어야 함"	상
FR_VERIFY_002	견적서 입력 및 검증	견적서 입력	앨범 선택 기반	견적서 데이터 입력(앨범 선택 기반)	"- Step1) 메인 페이지에서 '앨범에서 선택' 카드 클릭
 - Step2) 파일 선택 다이얼로그 표시 (이미지 파일만, 최대 10MB)
 - Step3) 선택한 이미지 미리보기 표시
 - Step4) '이 사진 사용' 버튼 클릭 시 sessionStorage에 이미지 저장
 - Step5) 견적서 확인 화면(/verify/review)으로 이동
 - Step6) 이미지 로드 및 OCR API 호출 (Upstage OCR 또는 OpenAI Vision)
 - Step7) 추출된 텍스트에서 차량 정보 및 정비 항목 파싱
 - Step8) 파싱된 정보를 화면에 표시 (차량 정보, 정비 항목 리스트)
 - Step9) 사용자가 정보 수정 가능 (차량 정보, 항목 추가/삭제/수정)
 - Step10) '검증하기' 버튼 클릭 시 차량 정보 및 견적서 저장
 - Step11) 검증 엔진 실행 (비동기)
 - Step12) 검증 결과 화면(/verify/result)으로 이동
Acceptance Criteria:
- 앨범에서 이미지 선택이 정상적으로 동작해야 함
- OCR이 정확히 텍스트를 추출해야 함
- 파싱된 정보를 사용자가 수정할 수 있어야 함
- 검증 엔진이 정상적으로 실행되어야 함"	중
FR_VERIFY_003	견적서 입력 및 검증	견적서 입력	수기 입력 기반	견적서 데이터 입력(수기 입력 기반)	"- Step1) 메인 페이지에서 '직접 입력' 버튼 클릭
 - Step2) 차량 정보 입력 (제조사, 모델, 연식, 주행거리, 연료타입)
 - Step3) 정비 항목 추가 (항목명, 부품비, 공임비)
 - Step4) '검증하기' 버튼 클릭 시 차량 정보 저장 (saveVehicle)
 - Step5) 견적서 정보 저장 (createEstimate)
 - Step6) sessionStorage에 currentEstimateId 저장
 - Step7) 검증 엔진 실행 (비동기)
 - Step8) 검증 결과 화면(/verify/result)으로 이동
Acceptance Criteria:
- 차량 정보 및 정비 항목 입력이 정상적으로 저장되어야 함
- 검증 엔진이 정상적으로 실행되어야 함"	중
